"ChEMBL ID"	"Name"	"UniProt Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL2404"	"Estrogen receptor beta"	"Q9XSB5"	"SINGLE PROTEIN"	"Bos taurus"	"11"	"11"	"9913"	"False"
"CHEMBL2095170"	"Estrogen receptor"	"Q9XSB5|P49884"	"PROTEIN FAMILY"	"Bos taurus"	"395"	"627"	"9913"	"False"
"CHEMBL2094119"	"Glutamate receptor ionotropic, kainate"	"P22756|Q01812|P42260|P42264|Q63273"	"PROTEIN COMPLEX GROUP"	"Rattus norvegicus"	"489"	"721"	"10116"	"False"
"CHEMBL2097169"	"Adrenergic receptor beta; ADRB1 & ADRB3"	"P08588|P13945"	"SELECTIVITY GROUP"	"Homo sapiens"	"176"	"200"	"9606"	"False"
"CHEMBL4630758"	"5-hydroxytryptamine receptor 2A/Metabotropic glutamate receptor 2"	"P28223|Q14416"	"PROTEIN COMPLEX"	"Homo sapiens"	"17"	"187"	"9606"	"False"
"CHEMBL2844"	"1-acylglycerol-3-phosphate O-acyltransferase alpha"	"O35083"	"SINGLE PROTEIN"	"Mus musculus"	"1"	"7"	"10090"	"False"
"CHEMBL2446"	"Corticotropin releasing factor receptor 1"	"P35347"	"SINGLE PROTEIN"	"Mus musculus"	"62"	"121"	"10090"	"False"
"CHEMBL2111388"	"Beta-2 adrenergic receptor and beta-3 adrenergic receptor"	"P07550|P13945"	"SELECTIVITY GROUP"	"Homo sapiens"	"153"	"173"	"9606"	"False"
"CHEMBL2111477"	"Thrombin and coagulation factor VII"	"P00734|P08709"	"SELECTIVITY GROUP"	"Homo sapiens"	"162"	"175"	"9606"	"False"
"CHEMBL324"	"Serotonin 2c (5-HT2c) receptor"	"P08909"	"SINGLE PROTEIN"	"Rattus norvegicus"	"908"	"1131"	"10116"	"False"
"CHEMBL4523958"	"5-HT1A/5-HT1F"	"P30939|P08908"	"SELECTIVITY GROUP"	"Homo sapiens"	"15"	"15"	"9606"	"False"
"CHEMBL2095187"	"Muscarinic acetylcholine receptors; M2 & M3"	"P20309|P08172"	"SELECTIVITY GROUP"	"Homo sapiens"	"648"	"688"	"9606"	"False"
"CHEMBL2111418"	"Muscarinic acetylcholine receptor M1 and M3"	"P20309|P11229"	"SELECTIVITY GROUP"	"Homo sapiens"	"213"	"236"	"9606"	"False"
"CHEMBL2094123"	"Serotonin (5-HT) receptor"	"P35563|P35365|P32305|P31388|Q9JJ16|P28564|P30994|Q62758|P08909|P14842|P30940|P35364|P19327|P28565"	"PROTEIN FAMILY"	"Rattus norvegicus"	"195"	"353"	"10116"	"False"
"CHEMBL2093864"	"Adrenergic receptor alpha-2"	"P22086|P19328|P22909"	"PROTEIN FAMILY"	"Rattus norvegicus"	"2247"	"3310"	"10116"	"False"
"CHEMBL2111449"	"Coagulation factor X/antithrombin III"	"P01008|P00742"	"PROTEIN COMPLEX"	"Homo sapiens"	"6"	"28"	"9606"	"False"
"CHEMBL3244"	"Sulfonylurea receptor 2"	"Q63563"	"SINGLE PROTEIN"	"Rattus norvegicus"	"55"	"82"	"10116"	"False"
"CHEMBL4106188"	"Melanin-concentrating hormone receptor 2/HERG"	"Q12809|Q969V1"	"SELECTIVITY GROUP"	"Homo sapiens"	"14"	"14"	"9606"	"False"
"CHEMBL2424"	"Glyoxalase I"	"Q04760"	"SINGLE PROTEIN"	"Homo sapiens"	"274"	"402"	"9606"	"False"
"CHEMBL2474"	"Methionine aminopeptidase 1"	"P53582"	"SINGLE PROTEIN"	"Homo sapiens"	"463"	"612"	"9606"	"False"
"CHEMBL2111401"	"Thrombin and coagulation factor X"	"P00734|P00742"	"SELECTIVITY GROUP"	"Homo sapiens"	"140"	"145"	"9606"	"False"
"CHEMBL2095175"	"Monoamine transporters; Norepininephrine & dopamine"	"P23977|Q9WTR4"	"SELECTIVITY GROUP"	"Rattus norvegicus"	"492"	"561"	"10116"	"False"
"CHEMBL2111460"	"Dopamine D2 receptor and serotonin 1a receptor"	"P14416|P08908"	"SELECTIVITY GROUP"	"Homo sapiens"	"10"	"10"	"9606"	"False"
"CHEMBL2093870"	"Serotonin 2 (5-HT2) receptor"	"P30994|P08909|P14842"	"PROTEIN FAMILY"	"Rattus norvegicus"	"1593"	"2078"	"10116"	"False"
"CHEMBL2111379"	"Thrombin and urokinase-type plasminogen activator"	"P00734|P00749"	"SELECTIVITY GROUP"	"Homo sapiens"	"29"	"31"	"9606"	"False"
"CHEMBL2448"	"Deoxycytidylate deaminase"	"P30648"	"SINGLE PROTEIN"	"Caenorhabditis elegans"	"3"	"6"	"6239"	"False"
"CHEMBL2097175"	"Dopamine D2 receptor/Serotonin 2 (5-HT2) receptor"	"P61169|P30994|P08909|P14842"	"SELECTIVITY GROUP"	"Rattus norvegicus"	"108"	"132"	"10116"	"False"
"CHEMBL2111468"	"Dopamine D2 receptor and serotonin 2a receptor"	"P14416|P28223"	"SELECTIVITY GROUP"	"Homo sapiens"	"93"	"120"	"9606"	"False"
"CHEMBL2644"	"Carboxypeptidase A4"	"Q9UI42"	"SINGLE PROTEIN"	"Homo sapiens"	"11"	"11"	"9606"	"False"
"CHEMBL2111378"	"Histamine receptor (H3 and H4)"	"Q9H3N8|Q9Y5N1"	"SELECTIVITY GROUP"	"Homo sapiens"	"26"	"48"	"9606"	"False"
"CHEMBL2096988"	"Thrombin & trypsin"	"P00734|P07477|P07478|P35030"	"SELECTIVITY GROUP"	"Homo sapiens"	"257"	"271"	"9606"	"False"
"CHEMBL2440"	"Myeloperoxidase"	"P11247"	"SINGLE PROTEIN"	"Mus musculus"	"7"	"10"	"10090"	"False"
"CHEMBL4524133"	"Nicotinic Acetylcholine Receptor"	"P02708|P07510|P11230|P17787|P30926|P32297|P43681|Q07001|Q15822|Q9UGM1|Q15825|P30532|Q04844|P36544|Q9GZZ6|Q05901"	"PROTEIN COMPLEX GROUP"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL2111400"	"Phosphodiesterase 3 and 5 (PDE3 and PDE5)"	"O76074|Q14432|Q13370"	"SELECTIVITY GROUP"	"Homo sapiens"	"76"	"91"	"9606"	"False"
"CHEMBL3144"	"Glucocorticoid receptor"	"P06537"	"SINGLE PROTEIN"	"Mus musculus"	"72"	"140"	"10090"	"False"
"CHEMBL2484"	"Acetylcholine receptor protein epsilon chain"	"Q04844"	"SINGLE PROTEIN"	"Homo sapiens"	"81"	"95"	"9606"	"False"
"CHEMBL2442"	"Kallikrein 2"	"P20151"	"SINGLE PROTEIN"	"Homo sapiens"	"21"	"35"	"9606"	"False"
"CHEMBL2544"	"Peptidyl-glycine alpha-amidating monooxygenase"	"P19021"	"SINGLE PROTEIN"	"Homo sapiens"	"44"	"90"	"9606"	"False"
"CHEMBL4524129"	"Glutamate (NMDA/AMPA/Kainate)"	"P35439|Q00959|Q00960|Q00961|Q62645|Q8VHN2|Q9R1M7|P22756|Q9ULK0|Q01812|P19491|P19492|P19493|P42260|P42264|P19490|Q63273|O43424"	"PROTEIN COMPLEX GROUP"	"Rattus norvegicus"	"1"	"1"	"10116"	"False"
"CHEMBL2111419"	"Coagulation factor X and plasma kallikrein"	"P03952|P00742"	"SELECTIVITY GROUP"	"Homo sapiens"	"30"	"30"	"9606"	"False"
"CHEMBL2111340"	"Phosphodiesterase 4 and 5 (PDE4 and PDE5)"	"O76074|P27815|Q08499|Q07343|Q08493"	"SELECTIVITY GROUP"	"Homo sapiens"	"42"	"47"	"9606"	"False"
"CHEMBL2095153"	"Phosphodiesterase; PDE3 & PDE4"	"P27815|Q14432|Q08499|Q07343|Q13370|Q08493"	"SELECTIVITY GROUP"	"Homo sapiens"	"201"	"301"	"9606"	"False"
"CHEMBL314"	"Alpha-2c adrenergic receptor"	"P22086"	"SINGLE PROTEIN"	"Rattus norvegicus"	"9"	"9"	"10116"	"False"
"CHEMBL344"	"Melanin-concentrating hormone receptor 1"	"Q99705"	"SINGLE PROTEIN"	"Homo sapiens"	"4063"	"5587"	"9606"	"False"
"CHEMBL2111469"	"Dipeptidyl peptidase II and dipeptidyl peptidase IV (DPP2 and DPP4)"	"P27487|Q9UHL4"	"SELECTIVITY GROUP"	"Homo sapiens"	"91"	"94"	"9606"	"False"
"CHEMBL2944"	"Choline acetylase"	"Q90YJ9"	"SINGLE PROTEIN"	"Gallus gallus"	"13"	"17"	"9031"	"False"
"CHEMBL2111437"	"Melanin-concentrating hormone receptor"	"Q969V1|Q99705"	"PROTEIN FAMILY"	"Homo sapiens"	"51"	"55"	"9606"	"False"
"CHEMBL2097165"	"Dopamine receptors; D3 & D4"	"P35462|P21917"	"SELECTIVITY GROUP"	"Homo sapiens"	"270"	"312"	"9606"	"False"
"CHEMBL2244"	"Estrogen sulfotransferase"	"P19217"	"SINGLE PROTEIN"	"Bos taurus"	"8"	"8"	"9913"	"False"
"CHEMBL4106145"	"Nicotinic acetylcholine receptor alpha-1/beta-1/delta/epsilon"	"P02708|P11230|Q07001|Q04844"	"PROTEIN COMPLEX"	"Homo sapiens"	"32"	"33"	"9606"	"False"
"CHEMBL2096672"	"Monoamine transporters; Norepinephrine & serotonin"	"P31652|Q9WTR4"	"SELECTIVITY GROUP"	"Rattus norvegicus"	"279"	"298"	"10116"	"False"
"CHEMBL264"	"Histamine H3 receptor"	"Q9Y5N1"	"SINGLE PROTEIN"	"Homo sapiens"	"5343"	"8306"	"9606"	"False"
"CHEMBL2094118"	"Adrenergic receptor beta"	"P08588|P07550|P13945"	"PROTEIN FAMILY"	"Homo sapiens"	"741"	"1214"	"9606"	"False"
"CHEMBL2093863"	"Phosphodiesterase 4"	"P27815|Q08499|Q07343|Q08493"	"PROTEIN FAMILY"	"Homo sapiens"	"2211"	"3335"	"9606"	"False"
"CHEMBL249"	"Neurokinin 1 receptor"	"P25103"	"SINGLE PROTEIN"	"Homo sapiens"	"3993"	"6030"	"9606"	"False"
"CHEMBL248"	"Leukocyte elastase"	"P08246"	"SINGLE PROTEIN"	"Homo sapiens"	"5138"	"8143"	"9606"	"False"
"CHEMBL2362996"	"Voltage-gated potassium channel"	"P51787|Q9UK17|Q12809|P16389|Q09470|O43526|O43525|Q96RP8|Q9NR82|P56696|O95259|P22459|P22460|P22001|P17658|P48547|Q9NZV8|Q92953|Q03721|Q14003|Q14721|Q16322|Q6PIU1|Q8NCM2|Q8TAE7|Q8TDN1|Q8TDN2|Q96KK3|Q96L42|Q96PR1|Q9BQ31|Q9H252|Q9H3M0|Q9NS40|Q9NSA2|Q9UIX4|Q9UJ96|Q9ULD8|Q9ULS6|Q9UQ05"	"PROTEIN FAMILY"	"Homo sapiens"	"24"	"24"	"9606"	"False"
"CHEMBL2094111"	"Adrenergic receptor alpha"	"P15823|P23944|P43140|P22086|P19328|P22909"	"PROTEIN FAMILY"	"Rattus norvegicus"	"666"	"950"	"10116"	"False"
"CHEMBL3301384"	"CCR5/mu opioid receptor complex"	"P51681|P35372"	"PROTEIN COMPLEX"	"Homo sapiens"	"2"	"3"	"9606"	"False"
"CHEMBL3344"	"Fatty acid binding protein muscle"	"P05413"	"SINGLE PROTEIN"	"Homo sapiens"	"166"	"192"	"9606"	"False"
"CHEMBL2447"	"Deoxycytidine kinase"	"P27707"	"SINGLE PROTEIN"	"Homo sapiens"	"383"	"530"	"9606"	"False"
"CHEMBL2111383"	"Serotonin receptor 2a and 2c (5HT2A and 5HT2C)"	"P08909|P14842"	"SELECTIVITY GROUP"	"Rattus norvegicus"	"139"	"162"	"10116"	"False"
"CHEMBL254"	"Phosphodiesterase 4A"	"P27815"	"SINGLE PROTEIN"	"Homo sapiens"	"844"	"1002"	"9606"	"False"
"CHEMBL304"	"Norepinephrine transporter"	"Q9WTR4"	"SINGLE PROTEIN"	"Rattus norvegicus"	"1664"	"2222"	"10116"	"False"
"CHEMBL2441"	"LDL-associated phospholipase A2"	"Q28017"	"SINGLE PROTEIN"	"Bos taurus"	"30"	"32"	"9913"	"False"
"CHEMBL2494"	"CaM kinase IV"	"Q16566"	"SINGLE PROTEIN"	"Homo sapiens"	"1362"	"2108"	"9606"	"False"
"CHEMBL2111412"	"Coagulation factor VII and X"	"P00742|P08709"	"SELECTIVITY GROUP"	"Homo sapiens"	"116"	"116"	"9606"	"False"
"CHEMBL2344"	"Vasopressin V2 receptor"	"P48044"	"SINGLE PROTEIN"	"Bos taurus"	"22"	"32"	"9913"	"False"
"CHEMBL4524122"	"Serotonin 1 (5-HT1) receptor"	"P30939|P28222|P08908|P28221|P28566"	"PROTEIN FAMILY"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4524131"	"Sulfonylurea receptors; K-ATP channels"	"Q63563|P70673|Q63664|Q09429"	"PROTEIN COMPLEX GROUP"	"Rattus norvegicus"	"8"	"8"	"10116"	"False"
"CHEMBL3044"	"Glutamate receptor ionotropic kainate 4"	"Q01812"	"SINGLE PROTEIN"	"Rattus norvegicus"	"2"	"2"	"10116"	"False"
"CHEMBL2443"	"Kallikrein 7"	"P49862"	"SINGLE PROTEIN"	"Homo sapiens"	"526"	"650"	"9606"	"False"
"CHEMBL2744"	"Vitamin K-dependent gamma-carboxylase"	"O88496"	"SINGLE PROTEIN"	"Rattus norvegicus"	"57"	"85"	"10116"	"False"
"CHEMBL3831223"	"Aminopeptidase"	"P15144|P55786|Q9H4A4|P53582|Q9UIQ6|Q9ULA0|Q07075|Q9NQW7|P28838|P50579|O43895|Q6P179|Q9NZ08|Q6Q4G3|Q8N6M6|Q6UB28|Q8NDH3|Q9HAU8|Q9NQH7"	"PROTEIN FAMILY"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL246"	"Beta-3 adrenergic receptor"	"P13945"	"SINGLE PROTEIN"	"Homo sapiens"	"2848"	"5519"	"9606"	"False"
"CHEMBL2096662"	"Serotonin 2 receptors; 5-HT2a & 5-HT2c"	"P28223|P28335"	"SELECTIVITY GROUP"	"Homo sapiens"	"710"	"792"	"9606"	"False"
"CHEMBL2096904"	"Serotonin (5-HT) receptor"	"P30939|P41595|Q13639|P28222|P46098|P08908|P28221|P28223|P28335|P28566|P34969|P50406|P47898|A5X5Y0|O95264|Q70Z44|Q8WXA8"	"PROTEIN FAMILY"	"Homo sapiens"	"46"	"68"	"9606"	"False"
"CHEMBL244"	"Coagulation factor X"	"P00742"	"SINGLE PROTEIN"	"Homo sapiens"	"7494"	"9639"	"9606"	"False"
"CHEMBL245"	"Muscarinic acetylcholine receptor M3"	"P20309"	"SINGLE PROTEIN"	"Homo sapiens"	"4263"	"6425"	"9606"	"False"
"CHEMBL2434"	"Interleukin-8 receptor B"	"P25025"	"SINGLE PROTEIN"	"Homo sapiens"	"2250"	"3483"	"9606"	"False"
"CHEMBL2044"	"Gamma-amino-N-butyrate transaminase"	"P80404"	"SINGLE PROTEIN"	"Homo sapiens"	"90"	"140"	"9606"	"False"
"CHEMBL1944"	"Neprilysin"	"P08473"	"SINGLE PROTEIN"	"Homo sapiens"	"677"	"810"	"9606"	"False"
"CHEMBL243"	"Human immunodeficiency virus type 1 protease"	"Q72874"	"SINGLE PROTEIN"	"Human immunodeficiency virus 1"	"5882"	"9001"	"11676"	"False"
"CHEMBL2111424"	"Coagulation factor IX and X"	"P00740|P00742"	"SELECTIVITY GROUP"	"Homo sapiens"	"90"	"91"	"9606"	"False"
"CHEMBL241"	"Phosphodiesterase 3A"	"Q14432"	"SINGLE PROTEIN"	"Homo sapiens"	"891"	"1094"	"9606"	"False"
"CHEMBL2095169"	"Dopamine receptors; D2 & D3"	"P14416|P35462"	"SELECTIVITY GROUP"	"Homo sapiens"	"532"	"635"	"9606"	"False"
"CHEMBL1844"	"Macrophage colony stimulating factor receptor"	"P07333"	"SINGLE PROTEIN"	"Homo sapiens"	"3774"	"5163"	"9606"	"False"
"CHEMBL214"	"Serotonin 1a (5-HT1a) receptor"	"P08908"	"SINGLE PROTEIN"	"Homo sapiens"	"7073"	"11477"	"9606"	"False"
"CHEMBL284"	"Dipeptidyl peptidase IV"	"P27487"	"SINGLE PROTEIN"	"Homo sapiens"	"5290"	"6939"	"9606"	"False"
"CHEMBL234"	"Dopamine D3 receptor"	"P35462"	"SINGLE PROTEIN"	"Homo sapiens"	"7714"	"11985"	"9606"	"False"
"CHEMBL2094109"	"Muscarinic acetylcholine receptor"	"P20309|P08173|P11229|P08172|P08912"	"PROTEIN FAMILY"	"Homo sapiens"	"594"	"1128"	"9606"	"False"
"CHEMBL2363066"	"3',5'-cyclic phosphodiesterase"	"O76074|P27815|Q14432|Q13956|P18545|O00408|Q13946|P54750|O76083|P35913|Q08499|Q07343|O43924|P16499|Q13370|P51160|O95263|Q9Y233|Q01064|Q08493|Q14123|O60658|Q9NP56"	"PROTEIN FAMILY"	"Homo sapiens"	"15"	"15"	"9606"	"False"
"CHEMBL274"	"C-C chemokine receptor type 5"	"P51681"	"SINGLE PROTEIN"	"Homo sapiens"	"3389"	"5625"	"9606"	"False"
"CHEMBL247"	"Human immunodeficiency virus type 1 reverse transcriptase"	"Q72547"	"SINGLE PROTEIN"	"Human immunodeficiency virus 1"	"8158"	"18209"	"11676"	"False"
"CHEMBL204"	"Thrombin"	"P00734"	"SINGLE PROTEIN"	"Homo sapiens"	"8922"	"10709"	"9606"	"False"
"CHEMBL2414"	"C-C chemokine receptor type 4"	"P51679"	"SINGLE PROTEIN"	"Homo sapiens"	"1541"	"2819"	"9606"	"False"
"CHEMBL2093866"	"Estrogen receptor"	"Q92731|P03372"	"PROTEIN FAMILY"	"Homo sapiens"	"1788"	"3070"	"9606"	"False"
"CHEMBL2331075"	"D2-like dopamine receptor"	"P14416|P35462|P21917"	"PROTEIN FAMILY"	"Homo sapiens"	""	""	"9606"	"False"
"CHEMBL242"	"Estrogen receptor beta"	"Q92731"	"SINGLE PROTEIN"	"Homo sapiens"	"4863"	"8979"	"9606"	"False"
"CHEMBL240"	"HERG"	"Q12809"	"SINGLE PROTEIN"	"Homo sapiens"	"21280"	"27368"	"9606"	"False"
"CHEMBL224"	"Serotonin 2a (5-HT2a) receptor"	"P28223"	"SINGLE PROTEIN"	"Homo sapiens"	"7904"	"11906"	"9606"	"False"
"CHEMBL2331074"	"Adrenergic receptor"	"P35348|P08913|P08588|P07550|P18825|P25100|P35368|P18089|P13945"	"PROTEIN FAMILY"	"Homo sapiens"	"2"	"3"	"9606"	"False"
"CHEMBL2096909"	"Interleukin-8 receptors, CXCR1/CXCR2"	"P25025|P25024"	"PROTEIN FAMILY"	"Homo sapiens"	"241"	"285"	"9606"	"False"
"CHEMBL2095200"	"Serotonin 2 (5-HT2) receptor"	"P41595|P28223|P28335"	"PROTEIN FAMILY"	"Homo sapiens"	"240"	"282"	"9606"	"False"
"CHEMBL2094125"	"Phosphodiesterase 3"	"Q14432|Q13370"	"PROTEIN FAMILY"	"Homo sapiens"	"1439"	"1730"	"9606"	"False"
"CHEMBL2362997"	"Muscle-type nicotinic acetylcholine receptor"	"P02708|P07510|P11230|Q07001|Q04844"	"PROTEIN COMPLEX GROUP"	"Homo sapiens"	"3"	"3"	"9606"	"False"
"CHEMBL2096905"	"Dopamine receptor"	"P14416|P35462|P21918|P21917|P21728"	"PROTEIN FAMILY"	"Homo sapiens"	"97"	"115"	"9606"	"False"
